Red,Green,Blue,Yellow
555,705,653,568
556,703,656,566
555,703,658,565
556,700,660,565
555,701,660,565
557,701,658,565
562,697,654,568
567,690,655,570
565,690,659,568
571,686,657,569
571,685,658,569
570,687,659,567
571,689,658,565
573,689,659,563
578,688,657,562
580,687,657,561
587,685,655,558
587,683,658,557
587,679,659,560
586,680,658,561
589,678,656,562
592,676,653,564
592,674,656,563
596,674,656,559
600,674,653,558
603,673,651,558
604,674,651,556
605,674,648,558
609,676,642,558
611,677,640,557
614,677,640,554
616,676,639,554
618,674,640,553
621,669,641,554
624,666,641,555
623,668,641,555
623,670,641,553
625,670,642,550
631,669,638,549
634,667,638,548
636,664,641,546
636,661,643,548
636,657,644,551
639,654,640,555
639,656,638,555
642,654,635,557
643,653,632,560
648,651,630,559
645,651,631,561
648,651,631,559
648,653,631,559
648,654,632,558
645,654,633,560
643,658,635,556
646,657,636,554
647,653,639,554
649,652,639,553
647,651,643,552
650,649,644,550
650,647,647,549
648,646,650,549
647,645,650,551
648,645,651,549
649,646,650,548
652,646,644,551
653,645,643,552
656,644,643,550
657,643,644,549
658,643,642,550
664,640,639,550
667,640,635,551
668,637,636,552
667,637,638,551
672,633,638,550
674,632,638,549
679,630,636,548
682,629,636,546
684,630,635,544
687,629,634,543
689,628,634,542
688,628,637,540
688,629,638,538
690,627,636,540
693,624,637,539
697,623,634,539
700,622,633,538
699,622,635,538
701,621,634,538
700,619,635,540
702,617,635,540
702,615,637,540
704,614,637,539
706,612,634,542
709,610,633,542
710,608,636,540
709,609,637,539
709,610,638,537
708,610,641,535
706,610,642,536
704,609,646,535
705,608,645,536
708,606,644,536
708,605,643,538
710,604,642,538
708,605,645,536
709,606,647,532
706,608,648,532
707,611,646,530
707,615,642,530
707,617,641,529
708,618,640,528
709,616,640,529
709,614,638,533
709,615,636,534
711,616,635,532
714,616,634,530
714,618,635,527
715,618,636,525
717,620,635,522
719,621,635,520
723,622,631,520
723,622,630,521
727,623,626,521
725,624,628,520
727,623,626,522
727,623,623,525
727,624,622,525
728,624,621,525
729,625,620,524
732,625,617,524
732,627,616,523
733,627,614,524
735,628,611,524
737,629,607,525
738,631,603,526
740,632,598,528
743,629,595,531
746,629,592,531
747,629,590,532
750,629,590,529
753,629,587,529
757,628,582,531
760,627,578,533
760,630,576,532
758,632,575,533
759,630,575,534
760,629,575,534
759,630,575,534
761,632,573,532
763,632,573,530
764,632,571,531
765,631,570,532
770,627,569,532
774,627,565,532
774,626,565,533
775,625,563,535
777,624,562,535
780,624,561,533
780,623,560,535
785,620,559,534
790,620,557,531
789,622,555,532
789,624,555,530
789,625,553,531
790,626,553,529
791,624,553,530
796,622,551,529
796,623,551,528
800,623,548,527
801,624,548,525
806,622,545,525
809,620,542,527
813,616,542,527
815,614,542,527
817,610,544,527
818,606,545,529
816,605,547,530
819,601,547,531
823,598,548,529
827,595,547,529
828,594,549,527
829,595,548,526
831,594,548,525
834,589,548,527
834,587,550,527
834,587,551,526
833,587,553,525
833,585,554,526
830,584,557,527
827,586,558,528
824,589,558,528
819,592,560,528
818,592,561,528
819,592,559,529
818,593,561,527
817,592,561,529
818,593,560,528
816,593,562,528
819,593,560,527
818,596,557,528
816,597,559,527
816,598,557,528
815,600,557,527
814,601,556,528
815,601,555,528
818,601,554,526
816,602,554,527
813,603,556,527
813,602,556,528
814,601,555,529
816,601,553,529
817,602,552,528
821,599,551,528
824,595,552,528
829,590,550,530
831,589,549,530
831,589,546,533
834,589,543,533
835,589,541,534
838,589,539,533
836,589,541,533
839,589,540,531
841,588,539,531
842,589,537,531
845,589,535,530
848,588,532,531
853,587,528,531
858,584,524,533
859,583,522,535
861,582,519,537
865,579,517,538
867,579,515,538
869,579,514,537
871,580,511,537
870,582,511,536
869,583,511,536
867,583,512,537
866,583,510,540
867,580,512,540
867,581,512,539
868,579,513,539
869,579,512,539
870,577,511,541
870,577,511,541
869,577,511,542
870,575,512,542
869,572,512,546
873,568,510,548
873,567,509,550
873,567,508,551
874,567,507,551
874,565,506,554
873,564,506,556
871,566,504,558
871,565,503,560
871,564,503,561
871,566,499,563
872,566,498,563
874,564,496,565
876,563,494,566
879,562,491,567
880,562,491,566
886,560,487,566
888,560,486,565
890,561,484,564
893,559,482,565
892,561,482,564
894,562,480,563
893,563,478,565
895,564,475,565
895,564,474,566
894,566,473,566
893,568,470,568
894,567,469,569
895,566,467,571
891,568,467,573
890,568,465,576
888,568,467,576
890,569,465,575
893,569,462,575
897,569,458,575
899,570,454,576
904,569,450,576
908,567,446,578
909,567,444,579
909,569,444,577
912,569,441,577
913,568,440,578
913,567,440,579
914,566,441,578
917,565,442,575
915,565,442,577
915,564,441,579
913,566,441,579
913,567,441,578
911,568,441,579
913,567,440,579
914,567,440,578
917,568,442,572
917,568,441,573
919,566,443,571
922,566,442,569
923,567,444,565
923,567,445,564
924,564,447,564
926,560,450,563
929,558,451,561
932,553,453,561
932,552,453,562
934,549,452,564
933,549,452,565
931,548,453,567
930,550,453,566
929,550,454,566
924,552,457,566
923,554,457,565
920,556,458,565
918,558,457,566
920,559,456,564
923,556,455,565
923,555,455,566
923,552,454,570
925,552,454,568
925,550,453,571
925,551,452,571
925,551,451,572
926,550,452,571
926,549,452,572
926,548,450,575
927,547,449,576
926,549,449,575
925,550,449,575
926,548,449,576
930,548,446,575
927,555,445,572
929,556,444,570
928,558,443,570
929,558,442,570
928,558,442,571
928,558,443,570
929,557,443,570
927,559,445,568
927,559,446,567
927,559,448,565
927,559,449,564
927,560,449,563
928,559,448,564
927,559,449,564
926,559,449,565
928,559,448,564
927,560,446,566
925,564,445,565
924,567,443,565
925,565,442,567
924,566,444,565
926,562,441,570
926,564,439,570
923,560,442,574
925,558,441,575
927,558,438,576
930,558,436,575
928,559,437,575
926,562,435,576
921,566,434,578
919,569,432,579
920,567,430,582
918,567,429,585
919,565,429,586
919,565,426,589
922,564,421,592
924,565,418,592
923,568,414,594
922,568,414,595
922,569,416,592
