Red,Green,Blue,Yellow
640,1359,231,270
641,1361,227,271
640,1361,227,272
639,1363,226,272
639,1364,225,272
639,1364,224,273
640,1363,224,273
642,1362,223,273
644,1361,223,272
644,1361,223,272
645,1360,222,273
646,1360,221,273
647,1361,220,272
647,1360,221,272
646,1361,221,272
645,1361,221,273
647,1359,221,273
647,1359,222,272
647,1361,219,273
645,1363,218,274
645,1363,218,274
644,1364,218,274
642,1365,218,275
641,1366,218,275
640,1366,218,276
640,1365,219,276
641,1365,219,275
640,1365,220,275
640,1365,221,274
639,1365,222,274
637,1367,223,273
637,1367,223,273
635,1369,222,274
635,1370,223,272
635,1371,223,271
634,1371,224,271
634,1372,224,270
633,1374,223,270
633,1374,223,270
633,1373,224,270
632,1374,225,269
633,1372,226,269
631,1373,226,270
631,1376,224,269
628,1379,224,269
626,1381,224,269
622,1384,224,270
622,1385,222,271
623,1384,222,271
623,1385,221,271
623,1386,221,270
622,1387,221,270
624,1387,220,269
624,1387,220,269
625,1389,218,268
625,1389,217,269
625,1390,217,268
626,1392,215,267
628,1391,214,267
627,1391,214,268
625,1392,214,269
624,1394,213,269
624,1393,213,270
624,1392,213,271
622,1395,211,272
623,1395,209,273
624,1396,206,274
626,1396,204,274
627,1397,201,275
629,1396,200,275
632,1395,198,275
633,1394,198,275
635,1393,197,275
636,1392,197,275
637,1392,195,276
638,1393,193,276
639,1393,193,275
640,1393,192,275
641,1393,191,275
642,1393,191,274
642,1393,191,274
642,1395,189,274
642,1396,188,274
642,1397,187,274
641,1397,187,275
642,1396,187,275
641,1397,187,275
642,1396,187,275
643,1398,184,275
644,1399,182,275
645,1399,181,275
646,1399,181,274
647,1399,179,275
647,1399,179,275
646,1400,179,275
646,1400,179,275
647,1398,180,275
648,1401,178,273
650,1402,177,271
651,1402,176,271
651,1403,175,271
650,1405,175,270
649,1406,174,271
648,1408,174,270
649,1409,174,268
649,1411,173,267
650,1411,173,266
650,1412,173,265
651,1412,172,265
652,1411,171,266
651,1412,170,267
653,1412,167,268
654,1410,168,268
655,1410,169,266
656,1410,170,264
655,1409,171,265
655,1410,170,265
656,1411,167,266
656,1410,168,266
657,1412,166,265
657,1413,166,264
657,1414,166,263
656,1415,165,264
654,1417,164,265
653,1417,165,265
653,1416,166,265
655,1415,165,265
655,1416,165,264
655,1416,165,264
656,1416,164,264
656,1415,165,264
658,1414,165,263
659,1412,166,263
660,1411,166,263
662,1409,167,262
662,1410,167,261
662,1410,167,261
662,1412,166,260
663,1411,167,259
664,1411,166,259
665,1410,167,258
666,1409,167,258
665,1408,168,259
666,1408,167,259
668,1407,166,259
668,1407,166,259
667,1406,167,260
668,1404,168,260
669,1404,167,260
669,1404,167,260
670,1404,166,260
669,1403,167,261
670,1403,168,259
671,1402,168,259
670,1403,168,259
670,1403,168,259
671,1403,169,257
671,1403,170,256
671,1404,169,256
672,1405,168,255
672,1407,167,254
671,1411,165,253
670,1412,165,253
670,1415,163,252
671,1416,163,250
672,1418,162,248
672,1419,162,247
671,1421,161,247
671,1422,161,246
670,1425,160,245
669,1424,161,246
667,1425,161,247
667,1425,162,246
666,1425,162,247
667,1425,162,246
667,1426,162,245
667,1427,162,244
665,1430,161,244
664,1432,161,243
664,1432,161,243
665,1431,161,243
664,1431,161,244
664,1432,160,244
664,1433,160,243
665,1433,159,243
666,1435,158,241
666,1437,157,240
667,1437,157,239
669,1436,156,239
669,1437,155,239
671,1437,155,237
671,1439,154,236
670,1439,154,237
668,1443,153,236
669,1443,153,235
669,1444,153,234
669,1445,153,233
670,1444,153,233
670,1444,153,233
669,1444,154,233
670,1444,153,233
668,1445,154,233
667,1445,154,234
665,1445,155,235
663,1445,156,236
659,1448,156,237
659,1448,155,238
658,1448,156,238
657,1450,156,237
655,1451,156,238
653,1454,155,238
651,1456,155,238
650,1455,156,239
649,1456,156,239
649,1458,156,237
647,1461,155,237
646,1462,155,237
647,1463,153,237
646,1464,152,238
647,1463,151,239
647,1462,151,240
646,1462,151,241
646,1463,149,242
646,1462,149,243
645,1464,147,244
645,1463,147,245
645,1462,147,246
644,1462,147,247
644,1461,147,248
642,1461,148,249
640,1461,149,250
639,1461,149,251
637,1461,150,252
636,1463,149,252
637,1463,149,251
637,1464,148,251
637,1463,148,252
636,1464,147,253
636,1465,147,252
636,1464,147,253
637,1464,146,253
637,1464,146,253
638,1464,145,253
638,1465,145,252
637,1466,145,252
636,1467,145,252
636,1467,145,252
637,1467,144,252
635,1468,144,253
633,1470,143,254
632,1471,143,254
631,1472,143,254
629,1474,142,255
628,1475,142,255
627,1476,142,255
626,1478,142,254
625,1481,141,253
624,1482,140,254
625,1482,140,253
626,1483,139,252
627,1482,139,252
628,1481,139,252
628,1482,138,252
629,1483,136,252
629,1482,136,253
629,1484,134,253
629,1484,133,254
629,1484,132,255
631,1484,132,253
632,1483,132,253
635,1481,132,252
637,1483,130,250
639,1481,130,250
641,1480,130,249
643,1480,128,249
644,1480,127,249
645,1480,126,249
646,1479,125,250
644,1481,125,250
641,1484,124,251
640,1484,124,252
641,1484,123,252
643,1484,123,250
643,1485,123,249
644,1485,123,248
644,1487,121,248
644,1488,120,248
644,1490,119,247
645,1490,118,247
646,1490,117,247
647,1490,116,247
647,1491,115,247
649,1490,114,247
649,1490,114,247
650,1490,114,246
652,1490,113,245
651,1491,113,245
652,1490,113,245
653,1490,112,245
655,1488,112,245
656,1490,111,243
657,1489,111,243
658,1489,111,242
657,1490,111,242
657,1491,110,242
655,1493,109,243
656,1492,109,243
656,1494,108,242
656,1495,107,242
656,1495,107,242
656,1495,107,242
656,1495,107,242
656,1495,107,242
658,1493,107,242
659,1492,107,242
660,1491,107,242
660,1491,107,242
660,1491,106,243
661,1490,106,243
662,1489,106,243
663,1489,105,243
664,1489,104,243
665,1488,104,243
666,1487,104,243
667,1486,104,243
667,1486,104,243
669,1484,104,243
669,1485,104,242
669,1486,104,241
670,1486,104,240
671,1485,104,240
671,1485,104,240
671,1485,104,240
671,1485,103,241
671,1485,103,241
671,1485,103,241
672,1484,103,241
672,1484,103,241
672,1484,103,241
673,1483,103,241
674,1482,103,241
674,1482,102,242
675,1481,101,243
674,1483,100,243
674,1483,100,243
673,1486,99,242
673,1488,98,241
673,1490,96,241
673,1491,96,240
674,1492,95,239
675,1492,95,238
676,1492,94,238
676,1492,94,238
677,1492,93,238
678,1491,93,238
678,1491,93,238
679,1490,93,238
679,1490,93,238
678,1490,93,239
677,1491,92,240
676,1491,92,241
675,1491,92,242
674,1492,91,243
673,1492,91,244
671,1494,90,245
671,1495,90,244
672,1496,89,243
674,1496,88,242
673,1497,88,242
673,1499,87,241
674,1498,87,241
674,1499,87,240
674,1499,87,240
674,1498,87,241
674,1498,87,241
675,1497,87,241
675,1498,87,240
675,1498,87,240
675,1498,87,240
676,1499,87,238
676,1500,87,237
677,1502,86,235
